Date,County,State,fips,Confirmed,Deaths,New_Cases,New_Cases_Weekly
2020-01-26,Apache,Arizona,,0,0,0.0,
2020-01-27,Apache,Arizona,,0,0,0.0,
2020-01-28,Apache,Arizona,,0,0,0.0,
2020-01-29,Apache,Arizona,,0,0,0.0,
2020-01-30,Apache,Arizona,,0,0,0.0,
2020-01-31,Apache,Arizona,,0,0,0.0,
2020-02-01,Apache,Arizona,,0,0,0.0,0.0
2020-02-02,Apache,Arizona,,0,0,0.0,0.0
2020-02-03,Apache,Arizona,,0,0,0.0,0.0
2020-02-04,Apache,Arizona,,0,0,0.0,0.0
2020-02-05,Apache,Arizona,,0,0,0.0,0.0
2020-02-06,Apache,Arizona,,0,0,0.0,0.0
2020-02-07,Apache,Arizona,,0,0,0.0,0.0
2020-02-08,Apache,Arizona,,0,0,0.0,0.0
2020-02-09,Apache,Arizona,,0,0,0.0,0.0
2020-02-10,Apache,Arizona,,0,0,0.0,0.0
2020-02-11,Apache,Arizona,,0,0,0.0,0.0
2020-02-12,Apache,Arizona,,0,0,0.0,0.0
2020-02-13,Apache,Arizona,,0,0,0.0,0.0
2020-02-14,Apache,Arizona,,0,0,0.0,0.0
2020-02-15,Apache,Arizona,,0,0,0.0,0.0
2020-02-16,Apache,Arizona,,0,0,0.0,0.0
2020-02-17,Apache,Arizona,,0,0,0.0,0.0
2020-02-18,Apache,Arizona,,0,0,0.0,0.0
2020-02-19,Apache,Arizona,,0,0,0.0,0.0
2020-02-20,Apache,Arizona,,0,0,0.0,0.0
2020-02-21,Apache,Arizona,,0,0,0.0,0.0
2020-02-22,Apache,Arizona,,0,0,0.0,0.0
2020-02-23,Apache,Arizona,,0,0,0.0,0.0
2020-02-24,Apache,Arizona,,0,0,0.0,0.0
2020-02-25,Apache,Arizona,,0,0,0.0,0.0
2020-02-26,Apache,Arizona,,0,0,0.0,0.0
2020-02-27,Apache,Arizona,,0,0,0.0,0.0
2020-02-28,Apache,Arizona,,0,0,0.0,0.0
2020-02-29,Apache,Arizona,,0,0,0.0,0.0
2020-03-01,Apache,Arizona,,0,0,0.0,0.0
2020-03-02,Apache,Arizona,,0,0,0.0,0.0
2020-03-03,Apache,Arizona,,0,0,0.0,0.0
2020-03-04,Apache,Arizona,,0,0,0.0,0.0
2020-03-05,Apache,Arizona,,0,0,0.0,0.0
2020-03-06,Apache,Arizona,,0,0,0.0,0.0
2020-03-07,Apache,Arizona,,0,0,0.0,0.0
2020-03-08,Apache,Arizona,,0,0,0.0,0.0
2020-03-09,Apache,Arizona,,0,0,0.0,0.0
2020-03-10,Apache,Arizona,,0,0,0.0,0.0
2020-03-11,Apache,Arizona,,0,0,0.0,0.0
2020-03-12,Apache,Arizona,,0,0,0.0,0.0
2020-03-13,Apache,Arizona,,0,0,0.0,0.0
2020-03-14,Apache,Arizona,,0,0,0.0,0.0
2020-03-15,Apache,Arizona,,0,0,0.0,0.0
2020-03-16,Apache,Arizona,,0,0,0.0,0.0
2020-03-17,Apache,Arizona,,0,0,0.0,0.0
2020-03-18,Apache,Arizona,,0,0,0.0,0.0
2020-03-19,Apache,Arizona,,0,0,0.0,0.0
2020-03-20,Apache,Arizona,,0,0,0.0,0.0
2020-03-21,Apache,Arizona,4001.0,3,0,3.0,0.42857142857142855
2020-03-22,Apache,Arizona,4001.0,3,0,0.0,0.42857142857142855
2020-03-23,Apache,Arizona,4001.0,4,0,1.0,0.5714285714285714
2020-03-24,Apache,Arizona,4001.0,4,0,0.0,0.5714285714285714
2020-03-25,Apache,Arizona,4001.0,7,0,3.0,1.0
2020-03-26,Apache,Arizona,4001.0,9,0,2.0,1.2857142857142858
2020-03-27,Apache,Arizona,4001.0,11,0,2.0,1.5714285714285714
2020-03-28,Apache,Arizona,4001.0,13,0,2.0,1.4285714285714286
2020-03-29,Apache,Arizona,4001.0,13,0,0.0,1.4285714285714286
2020-03-30,Apache,Arizona,4001.0,17,0,4.0,1.8571428571428572
2020-03-31,Apache,Arizona,4001.0,16,0,0.0,1.8571428571428572
2020-04-01,Apache,Arizona,4001.0,17,0,1.0,1.5714285714285714
2020-04-02,Apache,Arizona,4001.0,19,0,2.0,1.5714285714285714
2020-04-03,Apache,Arizona,4001.0,17,0,0.0,1.2857142857142858
2020-04-04,Apache,Arizona,4001.0,20,0,3.0,1.4285714285714286
2020-04-05,Apache,Arizona,4001.0,23,0,3.0,1.8571428571428572
2020-04-06,Apache,Arizona,4001.0,25,0,2.0,1.5714285714285714
2020-04-07,Apache,Arizona,4001.0,28,0,3.0,2.0
2020-04-08,Apache,Arizona,4001.0,34,3,6.0,2.7142857142857144
2020-04-09,Apache,Arizona,4001.0,52,3,18.0,5.0
2020-04-10,Apache,Arizona,4001.0,55,3,3.0,5.428571428571429
2020-04-11,Apache,Arizona,4001.0,66,3,11.0,6.571428571428571
2020-04-12,Apache,Arizona,4001.0,72,3,6.0,7.0
2020-04-13,Apache,Arizona,4001.0,89,3,17.0,9.142857142857142
2020-04-14,Apache,Arizona,4001.0,97,4,8.0,9.857142857142858
2020-04-15,Apache,Arizona,4001.0,110,4,13.0,10.857142857142858
2020-04-16,Apache,Arizona,4001.0,118,4,8.0,9.428571428571429
2020-04-17,Apache,Arizona,4001.0,141,4,23.0,12.285714285714286
2020-04-18,Apache,Arizona,4001.0,169,4,28.0,14.714285714285714
2020-04-19,Apache,Arizona,4001.0,178,4,9.0,15.142857142857142
2020-04-20,Apache,Arizona,4001.0,202,4,24.0,16.142857142857142
2020-04-21,Apache,Arizona,4001.0,226,5,24.0,18.428571428571427
2020-04-22,Apache,Arizona,4001.0,235,5,9.0,17.857142857142858
2020-04-23,Apache,Arizona,4001.0,268,5,33.0,21.428571428571427
2020-04-24,Apache,Arizona,4001.0,296,5,28.0,22.142857142857142
2020-04-25,Apache,Arizona,4001.0,314,5,18.0,20.714285714285715
2020-04-26,Apache,Arizona,4001.0,336,5,22.0,22.571428571428573
2020-04-27,Apache,Arizona,4001.0,362,5,26.0,22.857142857142858
2020-04-28,Apache,Arizona,4001.0,380,5,18.0,22.0
2020-04-29,Apache,Arizona,4001.0,392,5,12.0,22.428571428571427
2020-04-30,Apache,Arizona,4001.0,449,6,57.0,25.857142857142858
2020-05-01,Apache,Arizona,4001.0,478,6,29.0,26.0
2020-05-02,Apache,Arizona,4001.0,507,6,29.0,27.571428571428573
2020-05-03,Apache,Arizona,4001.0,526,6,19.0,27.142857142857142
2020-05-04,Apache,Arizona,4001.0,549,6,23.0,26.714285714285715
2020-05-05,Apache,Arizona,4001.0,576,7,27.0,28.0
2020-05-06,Apache,Arizona,4001.0,612,7,36.0,31.428571428571427
2020-05-07,Apache,Arizona,4001.0,630,7,18.0,25.857142857142858
2020-05-08,Apache,Arizona,4001.0,671,10,41.0,27.571428571428573
2020-05-09,Apache,Arizona,4001.0,710,10,39.0,29.0
2020-05-10,Apache,Arizona,4001.0,716,10,6.0,27.142857142857142
2020-05-11,Apache,Arizona,4001.0,727,10,11.0,25.428571428571427
2020-05-12,Apache,Arizona,4001.0,744,11,17.0,24.0
2020-01-26,Cochise,Arizona,,0,0,0.0,
2020-01-27,Cochise,Arizona,,0,0,0.0,
2020-01-28,Cochise,Arizona,,0,0,0.0,
2020-01-29,Cochise,Arizona,,0,0,0.0,
2020-01-30,Cochise,Arizona,,0,0,0.0,
2020-01-31,Cochise,Arizona,,0,0,0.0,
2020-02-01,Cochise,Arizona,,0,0,0.0,0.0
2020-02-02,Cochise,Arizona,,0,0,0.0,0.0
2020-02-03,Cochise,Arizona,,0,0,0.0,0.0
